epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2407,1.26801,1.62084,1.03969,0.79397,0.83138,0.88032,0.60703,1.13725,1.13417,1.00519,0.000661692,0.000661692,0.000661692
2,36.4008,1.194,1.01156,1.02946,0.80305,0.86126,0.88111,0.58691,1.19693,1.01082,1.02714,0.00128452,0.00128452,0.00128452
3,52.7003,1.17495,0.94935,1.0286,0.7522,0.81323,0.80106,0.5479,1.20313,1.12679,1.03058,0.00186335,0.00186335,0.00186335
4,70.4006,1.18431,0.91842,1.02196,0.87233,0.88962,0.94019,0.66124,1.10703,0.81149,1.00389,0.001802,0.001802,0.001802
5,86.3805,1.14986,0.834,1.02058,0.86965,0.86019,0.92244,0.65026,1.12942,0.85132,1.02053,0.001736,0.001736,0.001736
6,102.31,1.13023,0.79328,1.01595,0.91615,0.88624,0.96062,0.6808,1.10478,0.72305,1.0035,0.00167,0.00167,0.00167
7,118.808,1.12486,0.77173,1.01798,0.8957,0.87407,0.94769,0.67425,1.08466,0.73053,0.99701,0.001604,0.001604,0.001604
8,135.439,1.11945,0.75312,1.00849,0.87896,0.89129,0.95561,0.68888,1.0742,0.67793,1.00702,0.001538,0.001538,0.001538
9,151.299,1.07835,0.70392,0.99259,0.88841,0.92316,0.95908,0.68667,1.07782,0.65936,0.98969,0.001472,0.001472,0.001472
10,167.165,1.0852,0.71245,1.00742,0.89786,0.89122,0.96071,0.68739,1.08175,0.65958,0.9959,0.001406,0.001406,0.001406
11,184.154,1.06131,0.67242,0.97714,0.89268,0.89114,0.95629,0.6831,1.09744,0.66526,0.99269,0.00134,0.00134,0.00134
12,199.869,1.07755,0.70022,0.99838,0.91969,0.88047,0.95457,0.68438,1.0777,0.65738,0.99447,0.001274,0.001274,0.001274
13,215.491,1.07643,0.69532,0.99376,0.90306,0.88047,0.95663,0.69011,1.06253,0.66758,0.98683,0.001208,0.001208,0.001208
14,231.049,1.04481,0.65255,0.9815,0.8942,0.92102,0.95761,0.7006,1.05416,0.61095,0.97633,0.001142,0.001142,0.001142
15,247.881,1.04082,0.63971,0.98847,0.89077,0.91388,0.96309,0.68488,1.09929,0.65381,0.99641,0.001076,0.001076,0.001076
16,264.013,1.04263,0.62959,0.98405,0.90988,0.89436,0.96632,0.70628,1.03089,0.61401,0.97637,0.00101,0.00101,0.00101
17,280,1.04876,0.61756,0.98361,0.88611,0.90502,0.95392,0.69386,1.04917,0.59912,0.97581,0.000944,0.000944,0.000944
18,295.808,1.0341,0.61419,0.97504,0.91036,0.90181,0.96885,0.7027,1.05638,0.58572,0.98255,0.000878,0.000878,0.000878
19,312.755,1.00312,0.59786,0.9664,0.90071,0.91996,0.96867,0.71276,1.03307,0.58598,0.97384,0.000812,0.000812,0.000812
20,328.547,1.0314,0.59445,0.97409,0.91426,0.91782,0.96804,0.71687,1.05082,0.55779,0.98162,0.000746,0.000746,0.000746
21,344.888,1.01169,0.57438,0.96899,0.89775,0.92209,0.96925,0.69752,1.07669,0.5867,0.99161,0.00068,0.00068,0.00068
22,360.256,0.99588,0.55918,0.95757,0.90832,0.91988,0.96986,0.71249,1.04356,0.56006,0.98092,0.000614,0.000614,0.000614
23,376.646,0.98241,0.54895,0.95728,0.91204,0.91996,0.9694,0.71677,1.04694,0.56111,0.97553,0.000548,0.000548,0.000548
24,392.158,0.97354,0.55182,0.96106,0.91617,0.92147,0.97091,0.72807,1.00198,0.54569,0.96547,0.000482,0.000482,0.000482
25,407.496,0.96509,0.52832,0.95975,0.90571,0.9413,0.97479,0.72999,0.9978,0.53603,0.96257,0.000416,0.000416,0.000416
26,422.855,0.96836,0.52865,0.95735,0.9093,0.9308,0.97331,0.72703,1.01369,0.53553,0.96386,0.00035,0.00035,0.00035
27,438.805,0.94492,0.51602,0.95007,0.91802,0.91462,0.96758,0.7262,1.0081,0.53534,0.96575,0.000284,0.000284,0.000284
28,454.942,0.94229,0.51097,0.94412,0.91423,0.92142,0.97297,0.722,1.0322,0.54221,0.9717,0.000218,0.000218,0.000218
29,470.288,0.93374,0.499,0.94107,0.90041,0.93917,0.97552,0.73207,1.00455,0.52457,0.96467,0.000152,0.000152,0.000152
30,485.815,0.9232,0.49588,0.94466,0.89573,0.93518,0.97352,0.72786,1.00996,0.52413,0.96513,8.6e-05,8.6e-05,8.6e-05
